age,sex,job,housing,saving_accounts,checking_account,credit_amount,duration,purpose,risk,credit_per_month,age_risk_band,job_stability,housing_stability,has_saving_account,has_checking_account
67,male,2,own,unknown,little,1169,6,radio/TV,0,194.83333333333334,senior,1,1,0,1
22,female,2,own,little,moderate,5951,48,radio/TV,1,123.97916666666667,young,1,1,1,1
49,male,1,own,little,unknown,2096,12,education,0,174.66666666666666,mature,0,1,1,0
45,male,2,free,little,little,7882,42,furniture/equipment,0,187.66666666666666,mature,1,0,1,1
53,male,2,free,little,little,4870,24,car,1,202.91666666666666,mature,1,0,1,1
35,male,1,free,unknown,unknown,9055,36,education,0,251.52777777777777,mature,0,0,0,0
53,male,2,own,quite rich,unknown,2835,24,furniture/equipment,0,118.125,mature,1,1,1,0
35,male,3,rent,little,moderate,6948,36,car,0,193.0,mature,1,0,1,1
61,male,1,own,rich,unknown,3059,12,radio/TV,0,254.91666666666666,senior,0,1,1,0
28,male,3,own,little,moderate,5234,30,car,1,174.46666666666667,mature,1,1,1,1
25,female,2,rent,little,moderate,1295,12,car,1,107.91666666666667,mature,1,0,1,1
24,female,2,rent,little,little,4308,48,business,1,89.75,young,1,0,1,1
22,female,2,own,little,moderate,1567,12,radio/TV,0,130.58333333333334,young,1,1,1,1
60,male,1,own,little,little,1199,24,car,1,49.958333333333336,mature,0,1,1,1
28,female,2,rent,little,little,1403,15,car,0,93.53333333333333,mature,1,0,1,1
32,female,1,own,moderate,little,1282,24,radio/TV,1,53.416666666666664,mature,0,1,1,1
53,male,2,own,unknown,unknown,2424,24,radio/TV,0,101.0,mature,1,1,0,0
25,male,2,own,unknown,little,8072,30,business,0,269.06666666666666,mature,1,1,0,1
44,female,3,free,little,moderate,12579,24,car,1,524.125,mature,1,0,1,1
31,male,2,own,quite rich,unknown,3430,24,radio/TV,0,142.91666666666666,mature,1,1,1,0
48,male,2,own,little,unknown,2134,9,car,0,237.11111111111111,mature,1,1,1,0
44,male,2,rent,quite rich,little,2647,6,radio/TV,0,441.1666666666667,mature,1,0,1,1
48,male,1,rent,little,little,2241,10,car,0,224.1,mature,0,0,1,1
44,male,2,own,moderate,moderate,1804,12,car,0,150.33333333333334,mature,1,1,1,1
26,male,2,own,unknown,unknown,2069,10,furniture/equipment,0,206.9,mature,1,1,0,0
36,male,1,own,little,little,1374,6,furniture/equipment,0,229.0,mature,0,1,1,1
39,male,1,own,little,unknown,426,6,radio/TV,0,71.0,mature,0,1,1,0
42,female,2,rent,rich,rich,409,12,radio/TV,0,34.083333333333336,mature,1,0,1,1
34,male,2,own,little,moderate,2415,7,radio/TV,0,345.0,mature,1,1,1,1
63,male,2,own,little,little,6836,60,business,1,113.93333333333334,senior,1,1,1,1
36,male,2,own,rich,moderate,1913,18,business,0,106.27777777777777,mature,1,1,1,1
27,male,2,own,little,little,4020,24,furniture/equipment,0,167.5,mature,1,1,1,1
30,male,2,own,moderate,moderate,5866,18,car,0,325.8888888888889,mature,1,1,1,1
57,male,1,rent,unknown,unknown,1264,12,business,0,105.33333333333333,mature,0,0,0,0
33,female,3,own,little,rich,1474,12,furniture/equipment,0,122.83333333333333,mature,1,1,1,1
25,male,1,own,little,moderate,4746,45,radio/TV,1,105.46666666666667,mature,0,1,1,1
31,male,2,free,little,unknown,6110,48,education,0,127.29166666666667,mature,1,0,1,0
37,male,2,own,little,rich,2100,18,radio/TV,1,116.66666666666667,mature,1,1,1,1
37,male,2,own,little,rich,1225,10,domestic appliances,0,122.5,mature,1,1,1,1
24,male,2,own,little,moderate,458,9,radio/TV,0,50.888888888888886,young,1,1,1,1
30,male,3,own,quite rich,unknown,2333,30,radio/TV,0,77.76666666666667,mature,1,1,1,0
26,male,2,own,quite rich,moderate,1158,12,radio/TV,0,96.5,mature,1,1,1,1
44,male,1,own,little,moderate,6204,18,repairs,0,344.6666666666667,mature,0,1,1,1
24,male,2,rent,moderate,little,6187,30,car,0,206.23333333333332,young,1,0,1,1
